"tecnologia","operadora","nome","area_pct","moradores_pct","domicilios_pct"
"Todas","2G","2G_todas","49.88","91.30","90.76"
"CLARO","2G","2G_Claro","48.40","90.98","90.42"
"VIVO","2G","2G_Vivo","34.36","88.16","87.18"
"TIM","2G","2G_Tim","32.22","86.26","85.37"
"Todas","3G","3G_todas","46.66","90.34","89.94"
"CLARO","3G","3G_Claro","44.94","90.04","89.53"
"VIVO","3G","3G_Vivo","41.84","90.16","89.75"
"TIM","3G","3G_Tim","37.31","87.71","87.01"
"Todas","4G","4G_todas","45.05","89.97","89.34"
"CLARO","4G","4G_Claro","41.98","88.83","88.22"
"VIVO","4G","4G_Vivo","33.67","86.71","85.91"
"TIM","4G","4G_Tim","33.78","86.21","85.34"
"Todas","5G","5G_todas","31.84","84.71","83.98"
"CLARO","5G","5G_Claro","10.61","64.40","62.77"
"VIVO","5G","5G_Vivo","20.50","77.00","75.78"
"TIM","5G","5G_Tim","28.40","82.42","81.76"
"Todas","3G4G5G","3G4G5G_todas","0.00","0.00","0.00 "
"CLARO","3G4G5G","3G4G5G_Claro","0.00","0.00","0.00 "
"VIVO","3G4G5G","3G4G5G_Vivo","0.00","0.00","0.00 "
"TIM","3G4G5G","3G4G5G_Tim","0.00","0.00","0.00 "
"Todas","4G5G","4G5G_todas","0.00","0.00","0.00 "
"CLARO","4G5G","4G5G_Claro","0.00","0.00","0.00 "
"VIVO","4G5G","4G5G_Vivo","0.00","0.00","0.00 "
"TIM","4G5G","4G5G_Tim","0.00","0.00","0.00"
